City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,pacasmayo,-7.4006,-79.5714,20.2,81,62,6.67,PE,1701219459
282,iwanai,42.9744,140.5089,-2.48,77,96,10.27,JP,1701219460
283,vadso,70.0744,29.7487,0.09,86,100,8.75,NO,1701219460
284,aasiaat,68.7098,-52.8699,-9.46,67,90,8.58,GL,1701219460
285,wawa,9.9022,4.4192,26.1,49,67,0.58,NG,1701219460
286,massakory,12.996,15.7293,25.79,22,4,4.41,TD,1701219460
287,ola,59.5833,151.2833,-12.08,79,100,3.69,RU,1701219460
288,mitu,1.1983,-70.1733,22.76,97,93,0.57,CO,1701219461
289,samana,19.2056,-69.3369,26.98,87,6,2.87,DO,1701219461
290,tangkak,2.2673,102.5453,27.71,86,70,2.13,MY,1701219461
291,fortaleza,-3.7227,-38.5247,27.82,82,40,3.09,BR,1701219283
292,crane,31.3974,-102.3501,10.52,54,96,4.75,US,1701219461
293,telc,49.1842,15.4528,-3.0,94,95,4.18,CZ,1701219462
294,kudahuvadhoo,2.6708,72.8944,27.76,77,100,4.08,MV,1701219462
295,yuzhno-kurilsk,44.0306,145.8556,3.54,74,100,13.73,RU,1701219462
296,kachkanar,58.7,59.4948,-5.68,98,100,2.59,RU,1701219462
297,darazo,10.9938,10.4118,21.99,24,2,2.96,NG,1701219462
298,saipan,15.1355,145.701,30.39,70,40,7.72,MP,1701219204
299,port blair,11.6667,92.75,28.02,78,40,3.6,IN,1701219463
300,madang,-5.2246,145.7966,30.47,62,100,1.54,PG,1701219463
301,presidente epitacio,-21.7633,-52.1156,23.59,84,100,2.37,BR,1701219464
302,fort st. john,56.2499,-120.8529,2.94,65,20,8.23,CA,1701219464
303,souillac,-20.5167,57.5167,22.21,100,40,2.57,MU,1701219464
304,nuku'alofa,-21.1333,-175.2,29.19,89,20,6.69,TO,1701219464
305,arraial do cabo,-22.9661,-42.0278,23.98,88,75,7.2,BR,1701219465
306,lata,40.1629,-8.3327,16.56,97,56,2.05,PT,1701219465
307,pandan,14.0453,124.1694,27.4,88,79,6.47,PH,1701219465
308,katsuren-haebaru,26.3369,127.8719,23.01,72,20,1.54,JP,1701219465
309,zubtsov,56.1753,34.5894,-13.58,99,85,2.21,RU,1701219465
310,guaratuba,-25.8828,-48.5747,21.97,96,100,1.25,BR,1701219361
311,gallup,35.5281,-108.7426,4.42,44,0,0.0,US,1701219466
312,wafangdian,39.6183,122.0081,-3.76,42,74,7.15,CN,1701219466
313,juan griego,11.0817,-63.9655,26.59,85,2,5.85,VE,1701219466
314,sorong,-0.8833,131.25,28.05,78,99,1.5,ID,1701219304
315,san juan de abajo,20.8167,-105.1833,23.85,82,73,0.7,MX,1701219466
316,susuman,62.7833,148.1667,-26.14,100,100,0.17,RU,1701219466
317,simdega,22.6167,84.5167,16.6,64,4,1.79,IN,1701219467
318,axim,4.8699,-2.2405,25.98,85,32,2.13,GH,1701219467
319,vila velha,-20.3297,-40.2925,25.97,85,75,3.58,BR,1701219340
320,palafrugell,41.9174,3.1631,11.42,45,98,2.59,ES,1701219467
321,garoowe,8.4054,48.4845,22.26,70,93,4.71,SO,1701219467
322,westville,41.5414,-86.9006,-7.84,75,0,5.14,US,1701219468
323,panaba,21.2833,-88.2667,24.52,64,100,6.1,MX,1701219468
324,kainantu,-6.2887,145.8655,25.39,58,62,1.7,PG,1701219468
325,boda,4.3189,17.4695,22.08,93,100,1.67,CF,1701219468
326,salina cruz,16.1667,-95.2,26.68,66,17,9.47,MX,1701219468
